customerID,tenure,Contract,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,OnlineSecurity,Churn,ChurnProbability,ChurnProbabilityPct,RiskLevel,RecommendedAction
7310-EGVHZ,1,Month-to-month,No,20.2,20.2,Bank transfer (automatic),No internet service,No internet service,No,0.20641405948815927,20.6,Low,Review longer-term contract incentive
3413-BMNZE,1,Month-to-month,DSL,45.25,45.25,Bank transfer (automatic),No,No,No,0.41422779070642385,41.4,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
6234-RAAPL,72,Two year,Fiber optic,99.9,7251.7,Bank transfer (automatic),Yes,Yes,No,0.022718051445478154,2.3,Low,Standard customer engagement
6047-YHPVI,5,Month-to-month,Fiber optic,69.7,316.9,Electronic check,No,No,Yes,0.6647171162647826,66.5,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
6572-ADKRS,46,Month-to-month,Fiber optic,74.8,3548.3,Credit card (automatic),No,No,No,0.24284893685876283,24.3,Low,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
5380-WJKOV,34,Month-to-month,Fiber optic,106.35,3549.25,Electronic check,No,No,Yes,0.5994663349574162,59.9,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
8168-UQWWF,11,Month-to-month,Fiber optic,97.85,1105.4,Bank transfer (automatic),No,No,Yes,0.7041883792899005,70.4,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
8865-TNMNX,10,One year,DSL,49.55,475.7,Mailed check,No,No,No,0.11867032478154026,11.9,Low,Review Tech Support offer | Review Online Security offer
9489-DEDVP,70,Two year,DSL,69.2,4872.35,Credit card (automatic),No,Yes,No,0.011187403262643034,1.1,Low,Review Tech Support offer
9867-JCZSP,17,One year,No,20.75,418.25,Mailed check,No internet service,No internet service,No,0.04720114927655679,4.7,Low,Standard customer engagement
4671-VJLCL,63,Two year,DSL,79.85,4861.45,Credit card (automatic),Yes,Yes,No,0.012710537638014396,1.3,Low,Standard customer engagement
4080-IIARD,13,Month-to-month,DSL,76.2,981.45,Electronic check,Yes,Yes,No,0.30633033800415027,30.6,Medium,Review longer-term contract incentive | Review automatic payment incentive
3714-NTNFO,49,Month-to-month,Fiber optic,84.5,3906.7,Electronic check,No,No,No,0.42258221806483237,42.3,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
5948-UJZLF,2,Month-to-month,DSL,49.25,97.0,Mailed check,No,No,No,0.3029222489447743,30.3,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
7760-OYPDY,2,Month-to-month,Fiber optic,80.65,144.15,Electronic check,No,No,Yes,0.7362422262666628,73.6,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
7639-LIAYI,52,Two year,DSL,79.75,4217.8,Credit card (automatic),Yes,Yes,No,0.02910890493706388,2.9,Low,Standard customer engagement
2954-PIBKO,69,Two year,DSL,64.15,4254.1,Credit card (automatic),Yes,Yes,No,0.006290272195198999,0.6,Low,Standard customer engagement
8012-SOUDQ,43,Month-to-month,Fiber optic,90.25,3838.75,Electronic check,No,No,No,0.5122664724526323,51.2,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
9420-LOJKX,15,Month-to-month,Fiber optic,99.1,1426.4,Credit card (automatic),No,Yes,Yes,0.47062012766094413,47.1,Medium,Review longer-term contract incentive | Review Tech Support offer
6575-SUVOI,25,Month-to-month,DSL,69.5,1752.65,Credit card (automatic),Yes,Yes,No,0.21448022728965033,21.4,Low,Review longer-term contract incentive
7495-OOKFY,8,Month-to-month,Fiber optic,80.65,633.3,Credit card (automatic),No,No,Yes,0.628681281936198,62.9,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
4667-QONEA,60,One year,DSL,74.85,4456.35,Credit card (automatic),Yes,Yes,No,0.02208121970800286,2.2,Low,Standard customer engagement
1658-BYGOY,18,Month-to-month,Fiber optic,95.45,1752.55,Electronic check,No,No,Yes,0.771997612955614,77.2,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
8769-KKTPH,63,One year,Fiber optic,99.65,6311.2,Credit card (automatic),No,Yes,No,0.1387201717613772,13.9,Low,Review Tech Support offer
5067-XJQFU,66,One year,Fiber optic,108.45,7076.35,Electronic check,Yes,No,No,0.19852132648667958,19.9,Low,Review Online Security offer | Review automatic payment incentive
3957-SQXML,34,Two year,No,24.95,894.3,Credit card (automatic),No internet service,No internet service,No,0.013020417579419586,1.3,Low,Standard customer engagement
5954-BDFSG,72,Two year,Fiber optic,107.5,7853.7,Credit card (automatic),Yes,No,No,0.08121459096972658,8.1,Low,Review Online Security offer
0434-CSFON,47,Month-to-month,Fiber optic,100.5,4707.1,Electronic check,No,No,No,0.5470199405676046,54.7,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
1215-FIGMP,60,Month-to-month,Fiber optic,89.9,5450.7,Bank transfer (automatic),No,No,No,0.27012555668584604,27.0,Low,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
0526-SXDJP,72,Two year,DSL,42.1,2962.0,Bank transfer (automatic),No,Yes,No,0.005737013050995229,0.6,Low,Review Tech Support offer
0557-ASKVU,18,One year,DSL,54.4,957.1,Credit card (automatic),Yes,No,No,0.09520182269589689,9.5,Low,Review Online Security offer
5698-BQJOH,9,Month-to-month,Fiber optic,94.4,857.25,Electronic check,No,No,Yes,0.717849298907551,71.8,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
5122-CYFXA,3,Month-to-month,DSL,75.3,244.1,Electronic check,Yes,No,No,0.47415853620520243,47.4,Medium,Review longer-term contract incentive | Review Online Security offer | Review automatic payment incentive
8627-ZYGSZ,47,One year,Fiber optic,78.9,3650.35,Electronic check,No,No,No,0.20654759843030457,20.7,Low,Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
3410-YOQBQ,31,Two year,DSL,79.2,2497.2,Mailed check,Yes,No,No,0.04052292266904616,4.1,Low,Review Online Security offer
3170-NMYVV,50,Two year,No,20.15,930.9,Bank transfer (automatic),No internet service,No internet service,No,0.004477259376934826,0.4,Low,Standard customer engagement
7410-OIEDU,10,Month-to-month,Fiber optic,79.85,887.35,Mailed check,No,Yes,No,0.4380971722393007,43.8,Medium,Review longer-term contract incentive | Review Tech Support offer
2273-QCKXA,1,Month-to-month,DSL,49.05,49.05,Mailed check,Yes,No,No,0.2690866916323622,26.9,Low,Review longer-term contract incentive | Review Online Security offer
0731-EBJQB,52,One year,No,20.4,1090.65,Electronic check,No internet service,No internet service,No,0.01578100539083107,1.6,Low,Review automatic payment incentive
1891-QRQSA,64,Two year,Fiber optic,111.6,7099.0,Bank transfer (automatic),Yes,Yes,No,0.07721232819054441,7.7,Low,Standard customer engagement
8028-PNXHQ,62,Two year,No,24.25,1424.6,Bank transfer (automatic),No internet service,No internet service,No,0.004531127162001039,0.5,Low,Standard customer engagement
5630-AHZIL,3,Month-to-month,DSL,64.5,177.4,Bank transfer (automatic),Yes,Yes,No,0.2668528274046464,26.7,Low,Review longer-term contract incentive
2673-CXQEU,56,One year,Fiber optic,110.5,6139.5,Electronic check,No,Yes,No,0.21867085181937634,21.9,Low,Review Tech Support offer | Review automatic payment incentive
6416-JNVRK,46,One year,DSL,55.65,2688.85,Credit card (automatic),No,No,No,0.05228404100681372,5.2,Low,Review Tech Support offer | Review Online Security offer
5590-ZSKRV,8,Month-to-month,DSL,54.65,482.25,Mailed check,No,Yes,No,0.16815077470035528,16.8,Low,Review longer-term contract incentive | Review Tech Support offer
0191-ZHSKZ,30,Month-to-month,DSL,74.75,2111.3,Electronic check,No,Yes,No,0.2801260491167703,28.0,Low,Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
3887-PBQAO,45,One year,No,25.9,1216.6,Credit card (automatic),No internet service,No internet service,No,0.021204002795053294,2.1,Low,Standard customer engagement
5919-TMRGD,1,Month-to-month,Fiber optic,79.35,79.35,Electronic check,No,No,Yes,0.7117595178925153,71.2,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
8108-UXRQN,11,Month-to-month,DSL,50.55,565.35,Electronic check,No,Yes,No,0.4506162122824461,45.1,Medium,Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
9191-MYQKX,7,Month-to-month,Fiber optic,75.15,496.9,Bank transfer (automatic),No,No,Yes,0.5716756406617045,57.2,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
9919-YLNNG,42,Month-to-month,Fiber optic,103.8,4327.5,Bank transfer (automatic),Yes,No,No,0.32083192365515134,32.1,Medium,Review longer-term contract incentive | Review Online Security offer
0318-ZOPWS,49,Two year,No,20.15,973.35,Bank transfer (automatic),No internet service,No internet service,No,0.007861467451972193,0.8,Low,Standard customer engagement
4445-ZJNMU,9,Month-to-month,Fiber optic,99.3,918.75,Credit card (automatic),No,No,No,0.6692767058586339,66.9,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
4808-YNLEU,35,One year,DSL,62.15,2215.45,Bank transfer (automatic),No,Yes,No,0.08455164680218999,8.5,Low,Review Tech Support offer
1862-QRWPE,48,Two year,No,20.65,1057.0,Bank transfer (automatic),No internet service,No internet service,No,0.0052359473325310985,0.5,Low,Standard customer engagement
2796-NNUFI,46,Two year,No,19.95,927.1,Mailed check,No internet service,No internet service,No,0.007497466618741862,0.7,Low,Standard customer engagement
3016-KSVCP,29,Month-to-month,DSL,33.75,1009.25,Mailed check,No,No,No,0.2411339476247385,24.1,Low,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
4767-HZZHQ,30,Month-to-month,Fiber optic,82.05,2570.2,Bank transfer (automatic),No,No,No,0.24993627241237593,25.0,Low,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
2424-WVHPL,1,Month-to-month,Fiber optic,74.7,74.7,Electronic check,Yes,No,No,0.5823497185829137,58.2,High,Priority retention outreach | Review longer-term contract incentive | Review Online Security offer | Review automatic payment incentive
7233-PAHHL,66,Two year,DSL,84.0,5714.25,Mailed check,Yes,Yes,No,0.017194627700543696,1.7,Low,Standard customer engagement
6067-NGCEU,65,Month-to-month,Fiber optic,111.05,7107.0,Credit card (automatic),No,Yes,No,0.25091439815133876,25.1,Low,Review longer-term contract incentive | Review Tech Support offer
9848-JQJTX,72,Two year,Fiber optic,100.9,7459.05,Bank transfer (automatic),No,No,No,0.08992958633442551,9.0,Low,Review Tech Support offer | Review Online Security offer
8637-XJIVR,12,Month-to-month,Fiber optic,78.95,927.35,Electronic check,No,Yes,Yes,0.5802285325761349,58.0,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
9803-FTJCG,71,One year,DSL,66.85,4748.7,Credit card (automatic),Yes,Yes,No,0.011341839291888254,1.1,Low,Standard customer engagement
0278-YXOOG,5,Month-to-month,No,21.05,113.85,Mailed check,No internet service,No internet service,Yes,0.1681343474556564,16.8,Low,Review longer-term contract incentive
3212-KXOCR,52,Two year,No,21.0,1107.2,Bank transfer (automatic),No internet service,No internet service,No,0.004819058230846094,0.5,Low,Standard customer engagement
4598-XLKNJ,25,Month-to-month,Fiber optic,98.5,2514.5,Electronic check,No,No,Yes,0.641771898237468,64.2,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
6380-ARCEH,1,Month-to-month,No,20.2,20.2,Mailed check,No internet service,No internet service,No,0.19778530485390466,19.8,Low,Review longer-term contract incentive
3679-XASPY,1,Month-to-month,No,19.45,19.45,Electronic check,No internet service,No internet service,No,0.23565204644185853,23.6,Low,Review longer-term contract incentive | Review automatic payment incentive
7123-WQUHX,38,One year,Fiber optic,95.0,3605.6,Bank transfer (automatic),Yes,No,No,0.17560422067584752,17.6,Low,Review Online Security offer
5386-THSLQ,66,One year,DSL,45.55,3027.25,Bank transfer (automatic),No,No,No,0.03641186615516692,3.6,Low,Review Tech Support offer | Review Online Security offer
3192-NQECA,68,Two year,Fiber optic,110.0,7611.85,Bank transfer (automatic),Yes,No,Yes,0.08359996613581488,8.4,Low,Review Online Security offer
6180-YBIQI,5,Month-to-month,DSL,24.3,100.2,Mailed check,No,No,No,0.44671684233276643,44.7,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
6728-DKUCO,72,One year,Fiber optic,104.15,7303.05,Electronic check,No,Yes,No,0.13812199087513,13.8,Low,Review Tech Support offer | Review automatic payment incentive
9750-BOOHV,32,One year,DSL,30.15,927.65,Mailed check,No,Yes,No,0.07078459281148373,7.1,Low,Review Tech Support offer
8597-CWYHH,43,One year,Fiber optic,94.35,3921.3,Mailed check,No,No,No,0.23794537228426624,23.8,Low,Review Tech Support offer | Review Online Security offer
2848-YXSMW,72,Two year,No,19.4,1363.25,Credit card (automatic),No internet service,No internet service,No,0.0012729716996999706,0.1,Low,Standard customer engagement
0486-HECZI,55,Month-to-month,Fiber optic,96.75,5238.9,Electronic check,No,Yes,Yes,0.2978739144642997,29.8,Low,Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
4549-ZDQYY,52,One year,DSL,57.95,3042.25,Credit card (automatic),Yes,Yes,No,0.014861848832603016,1.5,Low,Standard customer engagement
5712-AHQNN,43,Month-to-month,Fiber optic,91.65,3954.1,Electronic check,No,No,No,0.3969369857701787,39.7,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
4846-WHAFZ,37,Month-to-month,Fiber optic,76.5,2868.15,Electronic check,No,No,Yes,0.5226360916589747,52.3,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
5256-SKJGO,64,Two year,DSL,54.6,3423.5,Electronic check,Yes,No,No,0.027159892257088546,2.7,Low,Review Online Security offer | Review automatic payment incentive
3071-VBYPO,3,Month-to-month,Fiber optic,89.85,248.4,Electronic check,No,Yes,No,0.47410762554311386,47.4,Medium,Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
9560-BBZXK,36,Two year,DSL,31.05,1126.35,Bank transfer (automatic),No,Yes,No,0.033032263711500275,3.3,Low,Review Tech Support offer
5299-RULOA,10,Month-to-month,Fiber optic,100.25,1064.65,Electronic check,No,Yes,Yes,0.6739047967715899,67.4,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
8402-OOOHJ,41,Two year,No,20.65,835.15,Mailed check,No internet service,No internet service,No,0.008114409347418323,0.8,Low,Standard customer engagement
9445-ZUEQE,27,Month-to-month,Fiber optic,85.2,2151.6,Credit card (automatic),Yes,No,No,0.2912428988765226,29.1,Low,Review longer-term contract incentive | Review Online Security offer
1091-SOZGA,56,One year,Fiber optic,99.8,5515.45,Credit card (automatic),No,No,No,0.21292645642805497,21.3,Low,Review Tech Support offer | Review Online Security offer
2928-HLDBA,6,Month-to-month,No,20.7,112.75,Mailed check,No internet service,No internet service,No,0.16307771131787918,16.3,Low,Review longer-term contract incentive
0404-SWRVG,3,Month-to-month,Fiber optic,74.4,229.55,Electronic check,No,No,Yes,0.734635879182984,73.5,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
6497-TILVL,7,Month-to-month,DSL,50.7,350.35,Mailed check,No,Yes,No,0.197544893171101,19.8,Low,Review longer-term contract incentive | Review Tech Support offer
7219-TLZHO,4,Month-to-month,No,20.85,62.9,Mailed check,No internet service,No internet service,No,0.15590897242707147,15.6,Low,Review longer-term contract incentive
4622-YNKIJ,33,Two year,Fiber optic,88.95,3027.65,Electronic check,Yes,Yes,No,0.1114093188265768,11.1,Low,Review automatic payment incentive
4412-YLTKF,27,Month-to-month,Fiber optic,78.05,2135.5,Electronic check,No,No,Yes,0.593465097354064,59.3,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
6734-PSBAW,72,Two year,No,23.55,1723.95,Bank transfer (automatic),No internet service,No internet service,No,0.0032267271095932533,0.3,Low,Standard customer engagement
3930-ZGWVE,1,Month-to-month,No,19.75,19.75,Mailed check,No internet service,No internet service,No,0.19733501219026678,19.7,Low,Review longer-term contract incentive
2639-UGMAZ,71,One year,DSL,56.45,3985.35,Electronic check,No,Yes,No,0.05761539037310918,5.8,Low,Review Tech Support offer | Review automatic payment incentive
2876-GZYZC,13,Month-to-month,Fiber optic,85.95,1215.65,Electronic check,No,No,No,0.7253286960292952,72.5,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
6207-WIOLX,25,Month-to-month,DSL,58.6,1502.65,Credit card (automatic),No,Yes,Yes,0.2662040984332447,26.6,Low,Review longer-term contract incentive | Review Tech Support offer
8587-XYZSF,67,Two year,DSL,50.55,3260.1,Bank transfer (automatic),Yes,No,No,0.005751732203238337,0.6,Low,Review Online Security offer
3091-FYHKI,1,Month-to-month,DSL,35.45,35.45,Electronic check,No,No,Yes,0.7127752123839401,71.3,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
2372-HWUHI,2,Month-to-month,DSL,44.35,81.25,Electronic check,No,No,Yes,0.4242969510622152,42.4,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
7799-LGRDP,43,Two year,No,25.7,1188.2,Credit card (automatic),No internet service,No internet service,No,0.013934280194585343,1.4,Low,Standard customer engagement
7850-VWJUU,23,Month-to-month,Fiber optic,75.0,1778.5,Bank transfer (automatic),No,Yes,No,0.35366783900328347,35.4,Medium,Review longer-term contract incentive | Review Tech Support offer
3774-VBNXY,64,Two year,No,20.2,1277.75,Mailed check,No internet service,No internet service,No,0.0020971665428799057,0.2,Low,Standard customer engagement
6217-KDYWC,57,Two year,No,19.6,1170.55,Mailed check,No internet service,No internet service,No,0.004175901072184713,0.4,Low,Standard customer engagement
0390-DCFDQ,1,Month-to-month,Fiber optic,70.45,70.45,Mailed check,No,No,Yes,0.6727614101103214,67.3,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
3146-MSEGF,72,Two year,DSL,88.05,6425.65,Credit card (automatic),Yes,Yes,No,0.015464076907044053,1.5,Low,Standard customer engagement
4080-OGPJL,8,Month-to-month,DSL,71.15,563.65,Electronic check,Yes,Yes,Yes,0.30772897109124914,30.8,Medium,Review longer-term contract incentive | Review automatic payment incentive
1095-WGNGG,61,Two year,Fiber optic,101.05,5971.25,Bank transfer (automatic),No,No,No,0.11694001379483578,11.7,Low,Review Tech Support offer | Review Online Security offer
2636-SJDOU,64,One year,Fiber optic,84.3,5289.05,Credit card (automatic),No,Yes,No,0.06729488004826809,6.7,Low,Review Tech Support offer
1131-QQZEB,71,Two year,No,23.95,1756.2,Bank transfer (automatic),No internet service,No internet service,No,0.003040234711817907,0.3,Low,Standard customer engagement
5716-EZXZN,65,Two year,Fiber optic,99.05,6416.7,Credit card (automatic),Yes,Yes,No,0.03365160540410291,3.4,Low,Standard customer engagement
6837-BJYDQ,3,One year,No,19.6,61.35,Mailed check,No internet service,No internet service,No,0.1019399875981311,10.2,Low,Standard customer engagement
2135-RXIHG,1,Month-to-month,DSL,45.65,45.65,Electronic check,No,No,Yes,0.5230307470003979,52.3,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
6440-DKQGE,30,One year,DSL,64.5,1929.95,Credit card (automatic),No,No,No,0.06798550622282684,6.8,Low,Review Tech Support offer | Review Online Security offer
3466-BYAVD,15,Month-to-month,DSL,69.5,1071.4,Mailed check,Yes,No,No,0.20812426197120085,20.8,Low,Review longer-term contract incentive | Review Online Security offer
3780-YVMFA,8,Month-to-month,DSL,68.55,564.35,Electronic check,Yes,No,No,0.4280285126089395,42.8,Medium,Review longer-term contract incentive | Review Online Security offer | Review automatic payment incentive
3874-EQOEP,7,Month-to-month,Fiber optic,95.0,655.5,Mailed check,No,No,Yes,0.647658474869652,64.8,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
1679-JRFBR,70,One year,Fiber optic,108.15,7930.55,Credit card (automatic),No,Yes,No,0.12177456866767748,12.2,Low,Review Tech Support offer
9073-ZZIAY,62,Two year,DSL,86.1,5215.25,Electronic check,Yes,Yes,No,0.01269944306322746,1.3,Low,Review automatic payment incentive
3077-RSNTJ,6,Month-to-month,No,19.7,113.5,Mailed check,No internet service,No internet service,No,0.142257449014491,14.2,Low,Review longer-term contract incentive
6551-GNYDG,14,Month-to-month,Fiber optic,80.9,1152.8,Bank transfer (automatic),No,No,No,0.5463646883980032,54.6,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
9167-APMXZ,22,Month-to-month,Fiber optic,84.15,1821.95,Bank transfer (automatic),No,No,No,0.5755744055585584,57.6,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
2749-CTKAJ,22,One year,No,20.15,419.9,Mailed check,No internet service,No internet service,No,0.03481684543360106,3.5,Low,Standard customer engagement
6371-NZYEG,16,Two year,DSL,64.25,1024.0,Mailed check,No,Yes,No,0.04872732892868013,4.9,Low,Review Tech Support offer
7554-NEWDD,10,Two year,No,25.7,251.6,Bank transfer (automatic),No internet service,No internet service,No,0.05179480297898182,5.2,Low,Standard customer engagement
8992-VONJD,13,Month-to-month,DSL,56.0,764.55,Electronic check,No,Yes,No,0.25139535150555964,25.1,Low,Review longer-term contract incentive | Review Tech Support offer | Review automatic payment incentive
